Device_Fail,Gear_Type,Velocity,Torque(Nm),Wear_Measure,Sensor_1,Sensor_2
N,Y,1353,46.5,185,297.2,323.3703704
N,Z,1470,43.5,191,297.5,325.2222222
N,Z,1738,25.8,128,302.6,334.1111111
N,Z,1476,42.3,107,297.4,323.7407407
Y,Y,1454,54.8,253,302.6,337.4444444
N,Y,1566,38.1,89,298.6,327.0740741
N,Z,1455,41.7,130,300,334.4814815
N,Y,1442,41.7,127,302.3,335.2222222
N,Z,1446,43.2,225,301.9,327.4444444
N,Z,1868,24,221,299,330.037037
N,Y,1390,53.4,175,297.6,323.7407407
N,Y,1826,25.3,203,302.5,336.3333333
N,Y,1421,42,165,297.1,323
N,Z,1590,28.5,23,299.8,327.0740741
N,Y,1563,39.9,83,301.4,330.7777778
N,Z,1480,40,148,300.5,328.5555556
N,Z,1429,42.5,123,301.1,333
N,X,1405,52.1,205,300.3,328.5555556
N,Z,1478,46.8,165,300.7,333
N,X,1560,33.3,53,298.7,323
Y,Z,1346,62.4,106,302.4,329.6666667
N,Z,1646,40.6,175,297.9,323
N,Y,1326,62,142,299.4,325.5925926
N,Z,1529,34.1,11,298,320.4074074
N,Y,1384,49.4,48,301.1,333.3703704
N,Z,1431,39.9,157,299,330.037037
N,Z,1392,43,197,297.7,318.5555556
N,Z,1388,51.4,183,302,328.5555556
N,X,1324,54.6,185,298.9,329.2962963
N,Z,1394,45.3,144,303.1,333.3703704
N,Y,1596,36.6,80,297.5,323
N,Z,1811,23.2,72,300.9,337.0740741
N,Z,1384,48.7,24,300.4,331.1481481
N,Z,1512,36.2,172,299.7,327.4444444
N,Z,1442,44.1,204,298,322.2592593
N,Z,1416,53.3,66,301.2,332.2592593
N,Z,1322,53.9,33,299.9,326.7037037
N,Y,1459,47.3,141,298.8,327.8148148
N,Y,1330,59,190,300.8,330.7777778
N,Z,1468,36.2,208,300.9,331.5185185
N,Z,1444,51.2,174,300.4,335.2222222
N,X,1517,41.4,222,297,321.8888889
N,Z,1487,34.6,208,297.1,321.8888889
N,Z,1634,29.2,149,300.8,331.8888889
N,Z,1761,25.6,115,299.9,325.962963
N,Z,1513,40,51,300.4,335.2222222
N,Z,1345,46.3,50,300.3,330.037037
N,Z,1375,57.2,20,301,331.8888889
N,Y,1465,55.9,153,297.4,323.3703704
N,Z,1987,19.9,200,302.2,334.1111111
N,Z,1469,42.8,205,298.6,328.1851852
N,Z,1998,20.2,210,301.5,331.1481481
N,Z,1816,28.8,106,297.6,322.6296296
N,Z,1491,40.2,112,297.3,324.1111111
N,Z,1488,41.8,75,302.3,334.8518519
N,Z,1326,52.4,57,300.3,327.4444444
N,Y,1452,44.3,167,299.8,333
N,Y,1710,27.7,138,297.3,323.3703704
N,Z,1466,43,15,297.5,324.8518519
N,Y,1358,42.7,50,299,322.2592593
N,Z,1419,47.9,196,303.9,339.2962963
N,Y,1446,42.8,121,298.1,321.1481481
N,Y,1418,44.7,209,299,327.8148148
N,Z,1459,42.1,146,298,322.2592593
N,Z,1464,47.2,159,302,330.4074074
N,Y,1288,61.9,79,298.8,328.1851852
N,Y,1481,44.9,136,304.2,343
N,Y,1552,41.3,116,300.5,328.5555556
N,Y,1406,42.2,40,300.2,325.5925926
N,Y,1377,43,91,302.2,333.3703704
N,X,1806,27.7,44,303.3,335.5925926
N,Z,1495,49.2,16,299.3,329.6666667
N,Z,1554,39.4,115,300.1,330.4074074
N,Z,1658,30.3,186,302.1,332.2592593
N,Z,1623,36.9,61,297.6,322.6296296
N,Y,1871,21.3,152,301.5,331.5185185
N,Y,1850,27.7,44,301.1,329.6666667
N,Z,1488,48.4,134,302.5,330.4074074
N,Y,1418,47.9,127,296.8,321.1481481
N,Z,1443,46.2,110,297.5,324.1111111
N,Z,1492,40.5,181,299.4,323.7407407
N,Z,1416,46.5,7,300.8,336.3333333
N,Z,1504,37.8,112,299.4,324.1111111
N,Y,1488,41.9,196,297.8,323.3703704
N,Z,1609,32.1,41,302.2,334.1111111
N,Z,1547,37.4,0,298.7,327.8148148
N,Z,1373,46.9,60,298.7,323
N,Y,1587,32.3,30,298,321.8888889
N,Z,1578,42.1,191,299.8,325.5925926
N,Z,2003,20.2,138,300.9,332.6296296
N,Z,1483,45,78,303.9,340.037037
N,Z,1520,42.8,148,302.6,332.6296296
N,Z,1615,30.9,200,300.9,330.4074074
N,Z,1576,30.4,92,301.3,331.1481481
N,Z,1488,40.7,31,295.5,314.4814815
N,Y,1585,42,90,297.6,323.7407407
N,X,2182,17.3,119,297.2,323
N,Z,1500,40.8,17,300.2,334.4814815
N,Z,1468,44.7,179,300.3,327.4444444
N,Z,1953,22.4,180,302.6,334.8518519
N,Y,1624,32.1,53,304.3,341.5185185
N,Y,1471,40.2,59,300.7,330.037037
N,Y,1413,45.5,64,298.8,328.1851852
N,Y,1412,49.1,219,300.7,335.2222222
N,Y,1915,22.3,116,303.6,337.4444444
N,X,1324,53.5,169,297.4,324.4814815
N,X,1830,26.2,78,300.6,331.1481481
N,Z,1699,32.9,87,299,329.2962963
Y,Z,1511,31,209,298.2,320.037037
N,Z,1442,47.3,65,298.3,321.5185185
N,Y,1618,30.3,125,299.7,333
N,Y,1572,37.5,126,298.1,325.5925926
N,Z,1539,40.2,72,297.6,324.4814815
N,Z,1548,46.6,7,297.4,322.6296296
N,Z,1679,34.8,25,303.1,333.3703704
N,Z,1473,50.1,84,303.6,335.962963
N,Z,1501,41.4,201,297.7,323.3703704
N,Z,2323,15.9,50,301.4,333.7407407
N,X,1401,50,129,303.9,338.9259259
N,Z,1506,33.5,26,297.8,324.8518519
N,X,1582,33.4,121,298.7,328.1851852
N,Z,1706,28.8,111,299.9,334.1111111
N,X,1420,45.8,150,298,320.037037
N,Y,1584,41,191,298.4,322.2592593
N,Z,1732,25.7,109,300.8,332.2592593
N,Z,1447,46.4,8,297,320.4074074
N,Y,1539,43.4,69,298.3,323
N,Y,1524,42.1,76,303,338.1851852
N,X,1417,41.2,155,298.5,326.7037037
N,Z,1343,50.2,98,300.2,327.0740741
N,Y,1501,39.5,27,301.3,328.5555556
N,Z,1654,31,201,300.1,326.3333333
N,Y,1614,32.7,0,300.6,330.037037
N,Y,1731,33.4,112,302.3,329.2962963
N,Y,1475,42.9,85,303.5,336.3333333
N,X,1596,35.1,75,296.4,319.6666667
N,Z,1568,39.1,0,304.4,342.2592593
N,X,1790,26.2,8,301.5,331.5185185
N,Z,1608,39.2,221,300.6,330.4074074
N,Y,1331,55.3,167,300.5,335.5925926
N,Z,1389,54.9,187,301.5,330.7777778
N,Z,1336,50.3,44,298.8,327.8148148
N,Y,1301,55,9,301,334.8518519
N,Z,1529,40.4,165,297.1,323
N,Z,1760,25.9,63,299.8,325.962963
N,Z,1666,29.8,41,296.8,321.5185185
N,Y,1431,52.6,26,297.6,323.3703704
N,Z,1433,50,218,297.5,323
N,Y,1462,49.2,158,295.6,314.4814815
N,Z,1386,56.9,170,300.4,327.4444444
N,Y,1676,35.2,97,300.5,335.962963
Y,Y,1671,30.5,234,300.4,329.6666667
N,Z,1467,41.8,48,298.1,327.0740741
N,Y,1300,62.7,36,301.7,332.2592593
N,Z,1309,48,124,301.9,332.2592593
N,Y,1622,36.1,43,300.1,327.4444444
N,Z,1623,31.1,152,299.3,324.8518519
N,Z,1473,42.6,232,302.8,337.4444444
N,Z,1433,50.3,183,302.3,335.5925926
N,X,1663,30.4,209,298.8,329.6666667
N,Z,1547,37.3,25,297.8,327.8148148
N,Y,1707,30,165,300.4,335.5925926
N,Y,1376,55.7,214,298,323.7407407
N,Z,1759,28.3,13,300.5,332.6296296
N,Z,1424,45.2,39,302.2,334.4814815
N,Y,1394,45.2,122,299,330.4074074
N,Y,1276,55.6,158,301.5,330.4074074
N,Z,1303,49.2,212,301.3,333
N,Z,1764,30.8,148,297.3,323.3703704
Y,X,1439,45.2,40,298.8,328.5555556
N,Z,1584,34.4,42,298.8,323.7407407
N,Z,1841,23,125,300.1,326.3333333
N,Z,1400,46.7,77,300.1,325.5925926
N,Z,1474,41.7,148,296.7,320.037037
N,X,1586,35.5,0,296.4,319.2962963
N,Y,1492,41.2,223,301.3,333
N,X,1279,55.9,152,298.6,328.1851852
N,Z,1413,38.5,57,299.3,323.3703704
N,Z,1553,36.8,174,299.7,327.4444444
N,Z,1665,36.6,22,298,325.962963
N,Y,1790,25.8,72,296.6,319.2962963
N,X,1684,29.8,156,304.2,341.8888889
N,Z,1529,41.3,17,299.3,330.7777778
N,Y,1358,52.7,139,302.5,334.4814815
N,Y,1328,49.2,11,298.9,322.2592593
N,Y,1693,34.4,73,298.2,326.7037037
N,Z,2496,13.5,111,300.6,326.7037037
N,Z,1549,48.3,105,296.8,319.2962963
N,Z,1605,31.1,181,299.2,324.4814815
N,Y,1544,35.1,25,302.6,330.4074074
N,Z,1564,31.1,34,298.5,321.8888889
N,Z,1816,23,15,299.5,325.962963
N,Y,1421,46.2,26,301.9,332.2592593
N,Z,1460,42.1,181,300.9,327.8148148
N,X,1672,29.9,13,301.9,332.6296296
N,Z,1502,39.4,126,297,320.4074074
N,X,1698,24.8,156,300.8,333
Y,Z,1405,56.2,218,298,322.6296296
N,Y,1605,36,69,302.5,330.4074074
N,X,1458,42.9,15,298.4,322.6296296
N,Y,1258,54.9,168,300.8,327.8148148
N,Y,1508,46.9,113,301,332.6296296
N,Y,1740,25.6,176,300.7,332.6296296
N,Z,1331,62.8,81,298.8,323.7407407
N,Y,1718,31.2,154,302.6,334.1111111
N,X,1550,38.2,185,297.8,323
N,Z,1482,41.4,63,301.8,330.037037
N,Z,1538,40.4,13,301.6,332.2592593
N,Z,1332,46.4,76,298.6,328.1851852
Y,Z,1429,37.7,220,298,323.3703704
N,Y,1574,34.8,40,298,325.5925926
N,Y,1960,20.9,20,300.2,334.1111111
N,Y,1916,23.1,51,302.1,332.2592593
N,Z,1740,27.1,136,297.7,323
N,Z,1608,39.5,202,300.7,331.8888889
Y,Z,1416,61.8,209,300.7,330.4074074
N,Z,1730,25.9,59,298.8,323.7407407
N,Z,1627,32.6,124,299.4,324.4814815
N,Y,1410,42.4,155,304.1,340.7777778
N,Z,1415,47.3,169,297.6,323.7407407
N,Z,1566,37.8,218,302,332.6296296
N,Y,1681,28.3,116,297.7,324.8518519
Y,Z,1349,51.1,9,303.2,334.1111111
N,Y,1532,41.3,161,304.2,341.8888889
N,X,1804,25,43,302.3,335.5925926
N,Y,1492,47.7,7,302.4,336.7037037
N,Y,1483,44.3,219,296.9,321.8888889
N,Z,1505,39,131,298.8,327.8148148
N,Z,1454,51.7,2,300,325.2222222
N,Y,1395,55.4,76,299.2,330.4074074
N,Z,1561,34.8,150,302.9,337.8148148
N,Z,1556,37.7,122,300.6,330.4074074
N,X,1460,49.8,2,303.7,339.6666667
N,X,1455,44.1,188,301.3,329.2962963
Y,Z,1270,65.3,182,302,333.3703704
N,Z,1688,32,202,298.2,322.6296296
N,Y,1357,41.8,127,296.9,321.8888889
N,Z,1378,44.4,83,301,330.7777778
N,Z,1371,57.4,52,297.4,323
N,Z,1497,43.2,62,300.9,332.2592593
N,X,1406,41.5,189,296.6,319.2962963
N,X,1532,37.7,166,298.9,329.6666667
N,Z,1616,29.3,226,303.6,337.4444444
N,Z,1412,52.4,142,300,330.7777778
N,Z,1634,32.6,155,301.4,332.6296296
N,Z,1461,45.7,49,298.6,328.5555556
N,Z,1729,30.2,53,300.9,331.8888889
N,X,1853,23.6,122,300.9,332.6296296
N,Z,1921,22.9,68,297.7,320.037037
N,Z,1480,45.1,107,299.3,331.1481481
N,Z,1510,44.9,33,302.2,334.1111111
N,Z,1586,35.1,142,302.1,332.6296296
N,Z,1731,28.7,38,298,325.962963
N,Z,1589,37.8,120,297.9,320.037037
N,Z,1340,56.9,6,297.8,325.2222222
N,X,1416,46.9,105,296.9,321.5185185
N,Z,1570,34,192,301,332.2592593
N,Y,1556,31.2,116,296.9,319.6666667
N,Z,1634,31.9,36,300.3,334.4814815
N,X,1342,47.5,147,299.2,323.3703704
N,Y,1560,43.9,126,299.7,333.3703704
N,Z,1446,40.6,147,300.1,334.1111111
N,Z,1558,34.8,115,299.6,326.3333333
N,Y,1706,25,153,300.7,332.6296296
N,Y,1979,20.4,68,296.9,321.1481481
N,Z,1460,46.5,143,298.1,320.037037
N,Y,1547,44,72,297.9,324.8518519
N,X,1654,31,91,296.6,320.4074074
N,Y,1448,42.9,74,299.5,324.8518519
N,X,1375,43.2,108,300.5,336.3333333
N,Z,1776,25.7,51,298.9,328.9259259
N,Y,1371,44.7,205,300.8,331.5185185
N,Y,1703,28.4,134,299.9,333.7407407
N,Z,1554,37.3,103,298.4,328.9259259
N,Y,1671,30.5,163,303.7,338.5555556
N,Y,2329,14.6,95,299.1,323.7407407
N,Y,1802,25.8,43,297.8,321.1481481
N,Z,1434,38.5,127,299.7,326.3333333
N,Z,1727,29.4,116,298.9,324.1111111
N,Z,1365,46.5,172,301.5,332.2592593
N,X,1449,42.5,16,298.6,327.4444444
N,Z,1348,54.5,22,299.4,331.1481481
N,Z,1643,32.9,171,301.2,328.5555556
N,Z,1340,56,130,300.1,326.3333333
N,Y,1573,34.9,93,297,321.8888889
N,Z,1429,46.9,19,300.4,331.1481481
N,Y,1430,51.7,32,302.6,335.2222222
N,X,1548,38.2,117,297.5,321.8888889
N,Y,1304,60.6,8,299.3,323.3703704
N,Z,1453,39.1,84,302.6,335.962963
N,X,1212,67.9,30,301,328.9259259
N,Y,1407,51.1,157,300.6,330.4074074
N,Z,1554,42,58,302.6,337.4444444
N,Z,1367,55.1,50,302.9,337.0740741
N,Z,1458,48,104,301.3,331.1481481
N,Z,1614,36.2,108,299.7,330.4074074
N,Z,1567,36.1,95,299.8,325.2222222
N,X,1441,46.3,100,301.8,331.1481481
N,X,1747,27.3,35,301.2,331.5185185
N,Z,1461,42.8,173,300.8,331.5185185
Y,Y,1360,44,67,302.3,332.2592593
N,X,1329,52,160,301.4,331.5185185
N,X,1711,27.6,170,303.7,338.5555556
N,X,1790,30.3,128,297.1,322.2592593
N,Z,1536,36.9,108,297.5,323.3703704
N,Z,1493,38.4,146,297.2,321.1481481
N,Z,1439,41.6,62,298.2,320.7777778
N,Z,1384,52.9,165,300.8,331.1481481
N,Z,1450,50.8,57,298.8,323.3703704
N,X,1679,29,222,302,332.2592593
N,X,1425,53.9,135,298.8,325.962963
N,Z,1827,23.3,103,303.6,336.3333333
N,Y,1577,35.6,133,297.3,324.1111111
N,Y,1490,41.2,126,299.7,330.7777778
N,Z,1504,33.7,182,298.5,325.962963
N,Z,1832,22.9,178,302,328.9259259
N,Z,1854,21.8,24,297.4,322.6296296
Y,Z,1320,67.5,20,299.1,324.4814815
N,Z,1462,43.6,0,302.2,331.1481481
N,Z,1544,31.8,25,299,325.2222222
N,Z,1525,40.7,105,300.3,333.7407407
N,Z,1572,35.9,71,297.6,323.3703704
N,Z,1337,52.7,106,301.3,330.7777778
N,Z,1515,37.5,5,300.3,335.2222222
N,Y,1717,31.3,61,297.1,323.7407407
N,Z,1434,51.9,173,302.3,335.962963
N,Z,1650,32.8,67,295.5,314.4814815
N,Y,1647,31.6,6,301.8,333
N,Y,1589,37.1,137,298.3,323.7407407
N,Z,1488,39.4,157,298.1,320.037037
N,Z,1563,33.8,104,300.7,331.8888889
N,Y,1581,30.7,65,298.9,326.3333333
N,Z,1574,36.2,181,298.8,329.2962963
N,Z,1447,49,61,297.3,321.5185185
N,Y,1459,40.2,69,298.7,328.9259259
N,Z,1596,36,141,297.5,323.7407407
N,Y,1476,32.6,144,300.4,334.4814815
N,Z,1579,36.3,211,299.3,324.1111111
Y,Z,1377,47.3,22,302.3,331.8888889
Y,Z,1282,60.7,216,298.4,322.2592593
N,Z,1364,53.8,129,298.1,320.037037
N,Z,1658,28.5,18,300.9,331.5185185
N,Z,1706,27.6,103,298.9,329.6666667
N,X,1548,44.3,40,299.5,325.5925926
N,Z,1456,50,166,297.1,321.1481481
N,Z,1614,33.2,155,303.6,335.5925926
N,Y,1600,36,204,300.9,328.9259259
N,Y,1335,51.7,69,295.8,315.5925926
N,Y,1598,33.4,44,299,329.6666667
N,Y,1582,33.3,177,299,330.037037
N,Z,1513,40.1,135,303.7,337.8148148
N,X,1457,46.8,182,300.8,330.037037
N,Z,1503,38.2,120,302.4,333.7407407
N,Y,1572,38,139,299.7,331.1481481
N,X,2370,14.7,198,302.5,335.5925926
N,Y,1438,44.5,124,298.5,327.4444444
N,Y,1409,43.2,9,300.3,328.9259259
N,Y,1389,50,55,299.9,333.7407407
N,Y,1709,29.2,158,300.9,331.1481481
N,Z,1372,54.7,44,298.7,328.5555556
N,Z,1420,45.6,193,297.4,325.962963
N,Y,1589,35,52,300.7,326.7037037
N,Z,1634,36.8,62,299.3,325.5925926
Y,Z,2874,4.2,118,297.4,324.1111111
N,Y,1472,47.5,125,298.8,325.5925926
N,Z,1775,26.6,149,300.7,328.5555556
N,Z,1376,48.6,159,299.8,331.8888889
N,Y,1685,32,10,296.9,320.037037
N,Z,1443,48.3,122,300.5,328.5555556
Y,Z,1335,57.1,194,300.7,335.962963
N,Z,1601,32.9,69,303,333.3703704
N,Y,1429,42,6,297.2,322.6296296
N,Z,1611,33.8,144,301.5,330.7777778
N,Z,1452,46,51,300,327.4444444
N,Z,2021,18.8,30,300.9,330.4074074
Y,Z,1379,49.3,34,302.3,332.2592593
N,Z,1822,26.2,204,301.8,333.3703704
N,Y,1469,43.9,20,300.1,326.3333333
N,Y,1886,21.1,44,300.8,331.5185185
N,Z,1544,34.7,213,298,322.6296296
N,Z,1452,46.2,168,299,330.4074074
N,Y,1347,54.3,125,302.5,335.962963
N,X,1357,55,12,302.9,338.1851852
N,Z,1578,29.9,44,302.4,335.962963
N,Z,1374,46.7,32,301.5,331.1481481
N,Z,1481,37.6,77,301.4,331.1481481
N,Y,1721,29.4,170,298.5,325.962963
N,Z,1500,39.9,158,297.7,322.2592593
N,Y,1510,40.9,152,301.6,332.2592593
Y,Z,1454,59.2,153,302.1,333.3703704
N,Y,1517,40.2,171,301,331.5185185
N,Y,1640,33.8,9,298.8,331.1481481
N,Z,1695,30.9,108,301.3,330.4074074
N,Y,1774,25.5,121,301.5,330.7777778
N,Y,1325,48.4,220,299.1,324.8518519
N,Z,1663,33.9,78,303.4,337.4444444
N,Z,1516,39.5,23,302.8,331.8888889
N,Z,1369,49.8,66,301.9,333.3703704
N,Z,1445,42.9,55,299.7,326.7037037
N,Z,1462,50.8,27,298.2,321.8888889
N,Z,1404,46.6,201,298,323.3703704
N,Z,1728,26.3,125,300.5,331.8888889
N,Y,1385,45.8,217,301.9,327.4444444
N,Z,1824,26.3,5,297.9,318.9259259
N,Z,1560,31.8,172,302.4,332.2592593
N,Z,1475,49.9,47,298.2,322.6296296
N,Z,1457,44.7,195,299.2,323.3703704
N,Z,1663,33.6,38,300.3,334.4814815
N,X,1513,36.1,212,299.4,325.962963
N,X,1916,22,42,301,332.2592593
N,X,1374,52.4,154,302.3,335.962963
N,Z,1447,52.1,174,302.2,333
N,Z,1533,45.8,125,301.4,332.6296296
N,Y,1501,39.2,127,298.5,321.8888889
N,Y,1396,48.7,13,299.2,323
N,Z,1582,38.8,156,299.2,323.7407407
N,Z,1706,29.5,193,301.6,332.2592593
N,Y,1659,33.1,152,302.9,337.8148148
N,Y,1471,41.9,166,302.2,333.3703704
Y,Z,1326,75.4,172,297.2,321.1481481
N,Z,1673,32.2,166,303.4,335.2222222
N,Z,1730,28.1,135,302.7,333
N,Y,1732,30.1,220,301.8,327.0740741
N,Y,1423,45.3,205,295.5,314.1111111
Y,Z,1475,40.5,222,297.4,322.6296296
N,Z,1551,33.7,214,300.1,325.5925926
N,Z,1443,43.3,134,301.8,334.4814815
N,Y,1511,33,200,300.4,335.2222222
N,Z,1556,32.9,132,302.4,329.2962963
N,Y,1335,57.8,96,298.4,329.2962963
N,Z,1387,53.1,188,301.1,333
N,Y,1380,52.4,202,295.5,313.7407407
N,Z,1959,22.3,157,303.5,335.2222222
N,Y,1357,49.7,104,297.6,324.4814815
N,X,1534,37.2,41,302.2,334.8518519
N,Y,1609,27.6,108,300.7,331.1481481
Y,Z,1284,70.6,94,303.5,337.8148148
N,Y,1519,38,139,303,333.3703704
N,Z,1618,37.6,32,301.2,328.9259259
N,Y,1694,33,115,296.8,320.7777778
N,Z,1960,21,194,300.7,330.7777778
N,Y,1438,51.5,7,300.2,329.6666667
N,X,2102,17.8,91,302.9,333.3703704
N,Y,1533,38,26,300.1,325.5925926
N,Z,1761,24.3,174,301.3,331.5185185
N,Y,1852,25.9,131,301.1,337.4444444
N,X,1704,30.6,160,299.2,331.1481481
N,Z,1539,45.4,4,298.9,323.7407407
N,Z,1412,44.5,204,302.2,335.2222222
N,Z,1657,31,129,299.1,330.4074074
N,Z,1582,37.5,176,301,332.6296296
N,Y,1479,43.4,105,298.1,324.8518519
N,X,1402,50,54,303.4,335.962963
N,Z,1626,29.9,177,296.9,321.1481481
N,X,1407,48.6,161,298.9,327.8148148
N,Z,1658,34.3,59,297.6,322.6296296
N,Y,1392,53.4,104,298,324.1111111
N,Y,1630,28.3,51,300.2,327.0740741
N,Z,1502,45.9,150,297.5,324.4814815
N,Z,1563,39.3,56,297.7,325.5925926
N,Z,1448,46.3,14,301.9,333
N,Z,1333,54.1,147,299.5,326.3333333
N,Y,1831,23.4,133,300.4,333.3703704
Y,Z,1313,67.3,67,298.2,321.1481481
N,Z,1520,39.3,73,302.7,330.7777778
N,Y,1754,31.3,114,299.5,331.8888889
N,X,2011,21,59,298.5,326.7037037
N,Z,1525,43.2,62,301.9,331.8888889
N,Z,1399,51.3,144,299.7,327.4444444
N,Z,1359,56.9,166,298.9,329.6666667
N,Z,1434,40.8,80,300.1,334.4814815
N,Z,1479,38,137,299.7,331.1481481
N,Z,1450,43.1,160,299.6,325.962963
N,Z,1451,47.5,18,298.5,322.2592593
Y,Z,1361,47.6,106,303,333.3703704
Y,Z,1282,67.9,10,301.1,332.2592593
N,Z,1351,44.1,206,300,333.3703704
N,Y,1392,50.4,101,298.3,320.7777778
N,X,1755,26.9,73,298.7,327.4444444
N,Z,1518,39.9,146,303.2,338.1851852
N,Z,1280,61,106,301.4,331.5185185
N,Z,1543,34.7,89,300.6,332.6296296
N,Z,1425,45.1,7,301.4,331.5185185
N,Z,1511,34.7,75,302.3,334.1111111
N,Z,1710,31.4,180,303.6,338.1851852
N,Z,1689,30.6,110,301.4,330.4074074
N,Y,1775,25.8,91,297.4,326.3333333
N,Z,1442,37.1,59,297.1,323.7407407
N,Y,1425,49.6,35,298.9,323.7407407
N,X,1546,36.2,177,298.3,327.4444444
N,Z,1448,48.8,31,296.8,321.1481481
N,Z,1899,24.7,31,301.8,332.2592593
N,Y,1379,48,181,298.3,322.6296296
N,Z,1472,44.5,159,301.4,333
N,Y,1444,45.5,76,295.8,315.2222222
N,Z,1989,22.4,166,303.7,338.9259259
N,X,1302,55.5,87,299.7,325.962963
N,Z,1616,33.5,25,300.9,330.7777778
N,Z,1516,46,119,301.3,331.5185185
N,Z,1456,58.1,145,302,328.1851852
N,Z,1737,31.9,96,301.4,330.4074074
N,X,1438,44,59,300.3,327.0740741
N,Z,1580,39.1,119,298.9,323.3703704
N,Z,1528,33.9,82,298.3,321.8888889
N,Y,1463,43.1,181,302.5,332.6296296
N,Z,1375,46.2,98,303.7,337.4444444
N,Z,1563,33.7,143,298.8,328.1851852
N,Z,1552,39.9,114,299,330.037037
N,Y,1433,51.4,76,300.1,334.8518519
N,Y,1522,41.7,115,300.8,332.2592593
N,Y,1787,22.2,192,299,331.1481481
N,Z,1478,39.7,10,297.9,325.962963
N,Z,1350,56.6,76,302.2,331.8888889
N,X,1522,42.1,62,303.4,337.4444444
N,Z,1538,43.2,30,297.7,325.2222222
N,Z,1406,60.4,133,297.1,320.7777778
N,Z,1603,31.4,141,299.7,333
N,Z,1523,37.7,80,298.1,320.4074074
N,Z,1401,51.1,50,300.7,336.3333333
N,Z,1408,38.4,144,299.9,330.4074074
N,Z,1447,40.2,173,298.6,326.7037037
N,Z,1402,50.1,3,301.7,329.2962963
N,X,1376,53.5,112,297.3,323.7407407
N,Z,1526,42.1,57,297.6,323.7407407
N,Y,1705,28.5,103,299.8,327.8148148
N,Y,1374,48.8,156,298.1,321.5185185
N,Z,1618,35.5,218,301.5,331.5185185
N,Z,1288,47.2,216,300.7,331.1481481
N,Z,1515,42.8,125,298.4,321.5185185
N,Z,1374,48.1,159,298.8,327.0740741
N,Y,1947,21.7,105,298.9,328.1851852
N,Y,1721,30.1,210,302.4,333
N,Y,1436,49,214,301.8,327.4444444
N,Y,1910,21.9,37,301,332.2592593
N,Z,1504,41,51,298.8,329.6666667
N,Y,1464,48.6,96,301.4,331.1481481
N,Z,1452,48.9,185,298.9,328.9259259
N,Y,1533,39.3,194,301,331.8888889
N,Y,1889,26,6,299.9,326.7037037
N,Z,1710,27.2,14,303.6,339.2962963
N,Z,1561,38.3,0,297.4,322.6296296
Y,Y,1363,54,119,302.3,335.5925926
N,Z,1416,45.2,88,301.3,331.1481481
N,Z,1763,27.3,27,303.3,333.3703704
N,X,1484,37,28,298.3,325.5925926
N,Y,1487,46.1,175,302.5,336.3333333
N,X,1630,32.3,194,299.6,325.5925926
N,Z,1610,34.6,187,301.4,331.8888889
N,Z,1407,40.5,87,300.7,331.1481481
Y,X,1305,55.2,20,302.7,330.4074074
N,Z,2197,15.8,133,302,330.7777778
N,Z,1989,21.8,19,301.4,331.5185185
N,X,1570,35.3,159,298.1,321.5185185
N,Z,1733,26,8,298.5,323
N,Z,1553,32.2,161,299.8,331.8888889
N,Y,1544,43.6,63,302.2,333.3703704
N,Z,1422,42.1,148,297.1,323
N,Z,1481,43.1,90,299.5,328.9259259
N,Z,1351,52.4,102,298.1,324.8518519
N,Z,1665,31.4,0,301.3,328.9259259
N,Z,1676,32.4,98,301.2,331.5185185
N,Z,1651,29.5,42,298.7,328.5555556
N,Z,1420,53.8,67,300.7,337.4444444
N,Z,1438,53.8,103,300.6,328.9259259
N,Y,2099,20,98,298.9,329.6666667
N,Y,1577,39.8,48,299.6,326.3333333
N,Z,1801,26.9,11,297.4,322.6296296
N,Z,1686,27.9,135,301.5,331.5185185
N,Z,1551,41.2,3,299.4,331.5185185
N,Z,1765,27.3,29,301.8,330.037037
N,Z,1501,44.9,20,297.4,323.3703704
N,Y,1591,33.7,32,298.2,321.5185185
N,Z,1542,40.3,141,299.8,327.0740741
N,Z,1416,40.4,214,300.7,331.5185185
N,X,1349,48.9,120,297.4,324.1111111
N,Z,1776,28.8,138,301,337.0740741
N,Z,1384,42.4,131,300.9,327.4444444
N,Y,1433,43.2,206,297.6,324.8518519
N,Z,1467,44.9,86,302,331.1481481
N,Z,1508,34.8,62,300.6,331.1481481
N,Y,1675,29.2,132,299.5,326.3333333
N,X,1445,49.9,4,298.8,324.4814815
N,Z,1416,44.2,46,296,316.7037037
N,Z,1505,37.3,100,297.9,320.7777778
N,Z,1357,50.1,137,297.5,326.7037037
N,X,1738,27.7,96,297.7,323
N,Z,1395,61,157,300.5,327.8148148
N,Z,1648,34,60,296.3,319.2962963
N,Y,1641,33.2,3,301.9,332.2592593
N,Y,1727,30.1,102,300.9,332.2592593
N,Y,1363,49.2,149,298.5,321.5185185
N,Z,1596,35.4,150,301.5,331.5185185
N,Z,1418,46,128,303.6,337.8148148
N,Z,1460,43.5,102,300,326.7037037
N,Z,1413,49.8,12,297.2,323.7407407
N,Z,1603,35.1,179,299.8,333
N,Z,1399,59,135,297,322.6296296
N,Y,1551,38.9,112,296.8,320.7777778
N,Y,1521,40.6,52,302.2,333.7407407
N,Z,1951,21.3,44,301.2,331.5185185
N,Z,1525,39.6,202,300.4,326.3333333
